drug_id,drug_name,node_idx
DB00001,Lepirudin,5593
DB00002,Cetuximab,5594
DB00004,Denileukin diftitox,5595
DB00005,Etanercept,5596
DB00006,Bivalirudin,5597
DB00007,Leuprolide,5598
DB00008,Peginterferon alfa-2a,5599
DB00009,Alteplase,5600
DB00010,Sermorelin,5601
DB00011,Interferon alfa-n1,5602
DB00012,Darbepoetin alfa,5603
DB00013,Urokinase,5604
DB00014,Goserelin,5605
DB00015,Reteplase,5606
DB00016,Erythropoietin,5607
DB00017,Salmon calcitonin,5608
DB00018,Interferon alfa-n3,5609
DB00019,Pegfilgrastim,5610
DB00020,Sargramostim,5611
DB00022,Peginterferon alfa-2b,5612
DB00023,Asparaginase Escherichia coli,5613
DB00024,Thyrotropin alfa,5614
DB00025,"Antihemophilic factor, human recombinant",5615
DB00026,Anakinra,5616
DB00027,Gramicidin D,5617
DB00028,Human immunoglobulin G,5618
DB00029,Anistreplase,5619
DB00030,Insulin human,5620
DB00031,Tenecteplase,5621
DB00032,Menotropins,5622
DB00033,Interferon gamma-1b,5623
DB00034,"Interferon alfa-2a, Recombinant",5624
DB00035,Desmopressin,5625
DB00036,Coagulation factor VIIa Recombinant Human,5626
DB00038,Oprelvekin,5627
DB00039,Palifermin,5628
DB00040,Glucagon,5629
DB00041,Aldesleukin,5630
DB00042,Botulinum Toxin Type B,5631
DB00043,Omalizumab,5632
DB00044,Lutropin alfa,5633
DB00045,Lyme disease vaccine (recombinant OspA),5634
DB00046,Insulin lispro,5635
DB00047,Insulin glargine,5636
DB00048,Collagenase clostridium histolyticum,5637
DB00050,Cetrorelix,5638
DB00051,Adalimumab,5639
DB00052,Somatotropin,5640
DB00054,Abciximab,5641
DB00055,Drotrecogin alfa,5642
DB00056,Gemtuzumab ozogamicin,5643
DB00058,Alpha-1-proteinase inhibitor,5644
DB00059,Pegaspargase,5645
DB00060,Interferon beta-1a,5646
DB00061,Pegademase,5647
DB00063,Eptifibatide,5648
DB00065,Infliximab,5649
DB00066,Follitropin,5650
DB00067,Vasopressin,5651
DB00068,Interferon beta-1b,5652
DB00069,Interferon alfacon-1,5653
DB00070,Hyaluronidase (ovine),5654
DB00071,Insulin pork,5655
DB00072,Trastuzumab,5656
DB00073,Rituximab,5657
DB00074,Basiliximab,5658
DB00075,Muromonab,5659
DB00078,Ibritumomab tiuxetan,5660
DB00081,Tositumomab,5661
DB00082,Pegvisomant,5662
DB00083,Botulinum toxin type A,5663
DB00086,Streptokinase,5664
DB00087,Alemtuzumab,5665
DB00089,Capromab pendetide,5666
DB00091,Cyclosporine,5667
DB00092,Alefacept,5668
DB00093,Felypressin,5669
DB00094,Urofollitropin,5670
DB00095,Efalizumab,5671
DB00097,Choriogonadotropin alfa,5672
DB00098,Antithymocyte immunoglobulin (rabbit),5673
DB00099,Filgrastim,5674
DB00100,Coagulation Factor IX (Recombinant),5675
DB00102,Becaplermin,5676
DB00103,Agalsidase beta,5677
DB00104,Octreotide,5678
DB00105,Interferon alfa-2b,5679
DB00106,Abarelix,5680
DB00107,Oxytocin,5681
DB00108,Natalizumab,5682
DB00109,Enfuvirtide,5683
DB00110,Palivizumab,5684
DB00111,Daclizumab,5685
DB00112,Bevacizumab,5686
DB00113,Technetium Tc-99m arcitumomab,5687
DB00114,Pyridoxal phosphate,5688
DB00115,Cyanocobalamin,5689
DB00116,Tetrahydrofolic acid,5690
DB00117,Histidine,5691
DB00118,Ademetionine,5692
DB00119,Pyruvic acid,5693
DB00120,Phenylalanine,5694
DB00121,Biotin,5695
DB00122,Choline,5696
DB00123,L-Lysine,5697
DB00125,Arginine,5698
DB00126,Ascorbic acid,5699
DB00127,Spermine,5700
DB00128,Aspartic acid,5701
DB00129,Ornithine,5702
DB00130,L-Glutamine,5703
DB00131,Adenosine phosphate,5704
DB00132,alpha-Linolenic acid,5705
DB00133,Serine,5706
DB00134,Methionine,5707
DB00135,Tyrosine,5708
DB00136,Calcitriol,5709
DB00137,Lutein,5710
DB00138,Cystine,5711
DB00139,Succinic acid,5712
DB00140,Riboflavin,5713
DB00141,N-Acetylglucosamine,5714
DB00142,Glutamic acid,5715
DB00143,Glutathione,5716
DB00144,Phosphatidyl serine,5717
DB00145,Glycine,5718
DB00146,Calcifediol,5719
DB00147,Pyridoxal,5720
DB00148,Creatine,5721
DB00149,Leucine,5722
DB00150,Tryptophan,5723
DB00151,Cysteine,5724
DB00152,Thiamine,5725
DB00153,Ergocalciferol,5726
DB00154,Dihomo-gamma-linolenic acid,5727
DB00155,Citrulline,5728
DB00156,Threonine,5729
DB00157,NADH,5730
DB00158,Folic acid,5731
DB00159,Icosapent,5732
DB00160,Alanine,5733
DB00161,Valine,5734
DB00162,Vitamin A,5735
DB00163,Vitamin E,5736
DB00165,Pyridoxine,5737
DB00166,Lipoic acid,5738
DB00167,Isoleucine,5739
DB00168,Aspartame,5740
DB00169,Cholecalciferol,5741
DB00170,Menadione,5742
DB00171,ATP,5743
DB00172,Proline,5744
DB00173,Adenine,5745
DB00174,Asparagine,5746
DB00175,Pravastatin,5747
DB00176,Fluvoxamine,5748
DB00177,Valsartan,5749
DB00178,Ramipril,5750
DB00179,Masoprocol,5751
DB00180,Flunisolide,5752
DB00181,Baclofen,5753
DB00182,Amphetamine,5754
DB00183,Pentagastrin,5755
DB00184,Nicotine,5756
DB00185,Cevimeline,5757
DB00186,Lorazepam,5758
DB00187,Esmolol,5759
DB00188,Bortezomib,5760
DB00189,Ethchlorvynol,5761
DB00190,Carbidopa,5762
DB00191,Phentermine,5763
DB00192,Indecainide,5764
DB00193,Tramadol,5765
DB00194,Vidarabine,5766
DB00195,Betaxolol,5767
DB00196,Fluconazole,5768
DB00197,Troglitazone,5769
DB00198,Oseltamivir,5770
DB00199,Erythromycin,5771
DB00200,Hydroxocobalamin,5772
DB00201,Caffeine,5773
DB00202,Succinylcholine,5774
DB00203,Sildenafil,5775
DB00204,Dofetilide,5776
DB00205,Pyrimethamine,5777
DB00206,Reserpine,5778
DB00207,Azithromycin,5779
DB00208,Ticlopidine,5780
DB00209,Trospium,5781
DB00210,Adapalene,5782
DB00211,Midodrine,5783
DB00212,Remikiren,5784
DB00213,Pantoprazole,5785
DB00214,Torasemide,5786
DB00215,Citalopram,5787
DB00216,Eletriptan,5788
DB00217,Bethanidine,5789
DB00218,Moxifloxacin,5790
DB00219,Oxyphenonium,5791
DB00220,Nelfinavir,5792
DB00221,Isoetharine,5793
DB00222,Glimepiride,5794
DB00223,Diflorasone,5795
DB00224,Indinavir,5796
DB00226,Guanadrel,5797
DB00227,Lovastatin,5798
DB00228,Enflurane,5799
DB00229,Cefotiam,5800
DB00230,Pregabalin,5801
DB00231,Temazepam,5802
DB00232,Methyclothiazide,5803
DB00233,Aminosalicylic acid,5804
DB00234,Reboxetine,5805
DB00235,Milrinone,5806
DB00237,Butabarbital,5807
DB00238,Nevirapine,5808
DB00239,Oxiconazole,5809
DB00240,Alclometasone,5810
DB00241,Butalbital,5811
DB00242,Cladribine,5812
DB00243,Ranolazine,5813
DB00244,Mesalazine,5814
DB00245,Benzatropine,5815
DB00246,Ziprasidone,5816
DB00247,Methysergide,5817
DB00248,Cabergoline,5818
DB00250,Dapsone,5819
DB00252,Phenytoin,5820
DB00253,Medrysone,5821
DB00254,Doxycycline,5822
DB00255,Diethylstilbestrol,5823
DB00257,Clotrimazole,5824
DB00259,Sulfanilamide,5825
DB00260,Cycloserine,5826
DB00261,Anagrelide,5827
DB00262,Carmustine,5828
DB00263,Sulfisoxazole,5829
DB00264,Metoprolol,5830
DB00266,Dicoumarol,5831
DB00268,Ropinirole,5832
DB00269,Chlorotrianisene,5833
DB00270,Isradipine,5834
DB00272,Betazole,5835
DB00273,Topiramate,5836
DB00274,Cefmetazole,5837
DB00275,Olmesartan,5838
DB00276,Amsacrine,5839
